File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
ApplicationConfig.zip,3cc7a0e28a8397902a5d30d22f5c67be,414,607
BuiltInPlugins.zip,f8f8ba2cfbe309c0af72c7875ab4994b,91206929,118554893
BuiltInStandalonePlugins.zip,19540a12e6e19359e520a9c73e4c88e0,12559640,16935038
Plugins.zip,06f1b7d35485447346cfab80ea5b52c3,910525,2011840
Qml.zip,7dc547c1123f33a6b35567535191cc00,3603094,8616287
StudioFonts.zip,a94c987ed60d8ea68e1eb46db7bc50d3,947243,1990149
WebView2.zip,d60f97fd6a263935d84e81eccdc3f641,80620,157624
WebView2RuntimeInstaller.zip,696f69dadd475b351e8faae70f0a14db,1732215,1834125
RobloxStudio.zip,024f280f78b74da6ed8664c19b57acd2,48012662,95807511
Libraries.zip,105884530d730a679c128256453bf3e0,7065855,17658672
LibrariesQt5.zip,22acd4fefa1b55b41e5ab88944b55b66,12722348,30335856
content-avatar.zip,2ef666159df8bb65890ffabac08e9ade,252502,940454
content-configs.zip,b1e54212ab68b8f56c43bf6926b6a120,45917,433024
content-fonts.zip,767d2108079b6b1c3bed64f1d03eda6e,5711849,11658577
content-models.zip,f9e03c17bce40938efdd4cef26bd261c,443446,1455320
content-qt_translations.zip,68c77aa0a773b457aeaeb589aa732240,570252,1917899
content-sky.zip,1d0390337d1a4a58e5514be1a9481ad6,2448711,4304365
content-sounds.zip,cd77e0e77d698260809f8ae8b3993740,373629,393784
shaders.zip,d28772207e035c1634ebf0c1ffa27747,3215154,22373191
ssl.zip,749140eeb4ac69f7514fe808346f41fa,129431,225937
content-textures2.zip,f3852e267a985d3109475452df969da8,7985704,8954827
content-textures3.zip,7ad5a15cb63aca299d9dd35cd6c9a50f,28516580,46537508
content-terrain.zip,834036d8093b692d6f51fc92001656f9,31003769,42671481
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
content-api-docs.zip,2738937648c317080739688596254f9f,4062294,41732281
extracontent-scripts.zip,03dd5a2b1fd526795212a807e366c318,2544926,7802632
extracontent-luapackages.zip,adcc4f37d8cb5566f9c398e3b41cb9f9,9668448,14854976
extracontent-translations.zip,2ef92ad63ff653352ba62753c9b65751,146139,532568
extracontent-models.zip,26665df78f3c558d96263444ff3e916f,3841261,4637295
extracontent-textures.zip,aa6324c04fe6be7ea7c9c1cb01b1fbea,7935637,7992120
redist.zip,c9622ecfbec2c14d30f390909c563124,1372275,3196216
